image,subject_id,fix_x,fix_y,durations
1001.jpg,[[5]],"[array([[336.875, 180.625, 342.5  ]])]","[array([[238.4765625, 373.2421875, 189.84375  ]])]","[array([[ 850,  891, 1166]], dtype=uint16)]"
1002.jpg,[[5]],"[array([[224.375, 655.   , 620.   , 588.75 ]])]","[array([[300.5859375,  47.4609375, 269.53125  , 243.1640625]])]","[array([[ 433,   58,  133, 3123]], dtype=uint16)]"
1005.jpg,[[5]],"[array([[299.375, 203.125, 438.125]])]","[array([[362.6953125, 382.03125  , 370.3125   ]])]","[array([[ 733,  874, 1807]], dtype=uint16)]"
1006.jpg,[[5]],"[array([[289.375, 278.75 , 270.   , 643.75 , 210.   , 250.625]])]","[array([[386.1328125, 329.8828125, 266.6015625, 221.484375 , 292.96875  ,
         283.59375  ]])                                                  ]","[array([[242, 250, 550, 525, 233, 341]], dtype=uint16)]"
1007.jpg,[[5]],"[array([[219.375, 203.75 , 254.375, 280.625, 260.625, 201.875, 591.875,
         330.   , 245.625, 200.625, 278.125]])                         ]","[array([[445.3125   , 468.1640625, 375.5859375, 502.734375 , 515.625    ,
         458.203125 , 380.2734375, 345.703125 , 331.0546875, 476.953125 ,
         489.84375  ]])                                                  ]","[array([[233, 308, 217, 183, 233, 200, 341, 341, 158, 233, 291]],
       dtype=uint16)                                             ]"
1009.jpg,[[5]],"[array([[497.5  , 528.125, 552.5  , 573.75 , 573.125, 540.625, 521.875,
         358.125]])                                                    ]","[array([[250.78125  , 245.5078125, 238.4765625, 204.4921875, 178.125    ,
         230.859375 , 243.1640625, 388.4765625]])                        ]","[array([[225, 283, 291, 341, 283, 441, 391, 733]], dtype=uint16)]"
1010.jpg,[[5]],"[array([[413.75 , 145.625, 428.125, 698.125, 698.125, 408.75 , 113.125]])]","[array([[383.7890625, 423.6328125, 423.046875 , 425.390625 , 377.9296875,
         398.4375   , 274.8046875]])                                     ]","[array([[225, 699, 308, 366, 366, 566, 358]], dtype=uint16)]"
1011.jpg,[[5]],"[array([[305.   , 211.25 , 218.125, 232.5  , 558.125, 681.25 , 350.625]])]","[array([[347.4609375, 291.2109375, 373.2421875, 270.1171875, 240.234375 ,
         431.8359375, 411.328125 ]])                                     ]","[array([[275, 358, 758, 208, 408, 699, 400]], dtype=uint16)]"
1013.jpg,[[5]],"[array([[356.25 , 530.   , 655.625, 727.5  , 373.125, 345.625]])]","[array([[357.421875 , 278.90625  , 272.4609375, 301.7578125, 365.0390625,
         380.859375 ]])                                                  ]","[array([[208, 225, 416, 450, 549, 708]], dtype=uint16)]"
1018.jpg,[[5]],"[array([[288.75 , 149.375, 117.5  , 460.   , 500.625, 541.25 , 255.   ]])]","[array([[424.8046875, 311.71875  , 258.3984375, 362.6953125, 398.4375   ,
         370.3125   , 414.84375  ]])                                     ]","[array([[291, 166, 824, 283, 266, 233, 616]], dtype=uint16)]"
