subject_id,avg_entropy,avg_unique_regions
187,2.932,4.43
150,2.892,4.45
144,3.08,4.333
178,2.861,3.997
88,3.267,5.662
63,3.388,5.463
77,1.842,2.767
76,2.879,4.131
89,2.721,4.642
179,2.898,4.654
145,2.936,3.95
151,2.987,4.817
186,3.142,4.892
184,3.009,4.723
190,2.932,4.649
147,2.764,3.69
153,3.183,4.323
60,2.782,3.677
48,3.134,4.407
49,2.767,4.086
61,2.988,4.44
75,2.942,4.774
152,3.117,4.971
146,3.041,4.39
191,2.932,4.43
185,3.139,4.757
181,2.835,4.121
142,2.916,3.878
156,2.917,4.169
59,3.043,4.284
71,3.079,5.214
65,3.021,4.299
70,3.0,4.318
58,3.261,4.55
157,2.953,4.303
143,2.542,4.068
180,3.36,5.615
182,3.193,4.989
169,3.41,5.779
155,3.219,4.909
141,3.432,5.249
99,3.249,4.755
66,3.176,4.414
73,3.126,4.177
67,3.131,4.686
98,2.603,3.761
154,2.371,3.137
168,2.311,3.395
183,3.353,4.682
133,3.144,4.883
127,3.191,4.938
14,3.005,4.513
28,2.727,3.919
29,2.729,3.537
15,3.116,4.857
126,3.235,4.413
124,2.48,3.712
118,3.019,4.625
17,3.607,5.2
16,3.3,5.077
119,3.026,4.195
131,2.539,3.762
125,2.494,3.636
109,3.299,5.54
121,3.151,4.596
135,3.017,3.865
12,2.844,3.786
13,3.5,5.566
134,3.087,4.771
120,3.002,4.215
108,2.878,3.957
136,2.666,3.937
122,3.113,5.875
39,3.299,5.357
38,1.167,2.087
123,2.272,3.1
137,2.853,4.311
112,2.942,4.427
106,3.117,5.269
35,2.992,4.773
34,2.596,3.394
20,3.051,4.58
107,3.594,5.466
113,3.263,5.951
5,2.788,3.907
105,3.327,4.455
111,2.584,4.069
139,3.091,4.549
36,3.012,4.495
22,2.819,4.097
23,3.255,5.711
37,3.137,4.697
138,2.785,3.875
110,2.902,4.16
104,3.297,5.183
128,2.745,4.107
100,2.81,3.884
114,2.989,3.986
33,3.251,4.963
27,3.403,4.309
26,3.063,4.378
32,3.148,4.742
115,3.049,4.109
101,3.219,5.424
129,3.158,4.825
117,2.916,4.559
103,2.91,4.47
18,3.134,4.52
24,3.346,5.066
30,2.923,4.43
31,3.132,4.654
25,3.26,5.143
19,2.738,3.869
102,3.037,4.891
116,2.912,3.864
171,3.156,4.693
165,1.924,2.769
159,3.276,4.431
81,3.014,3.909
95,3.125,4.651
42,3.359,5.28
56,3.129,4.614
57,2.717,4.018
43,3.143,4.318
94,3.096,4.663
80,3.078,4.849
158,3.244,5.191
164,3.01,4.449
170,2.988,4.149
166,3.426,4.996
172,2.093,2.745
96,2.646,3.886
82,2.285,3.517
55,2.723,3.905
41,3.004,4.628
69,2.682,4.038
68,2.723,3.799
40,2.853,4.369
54,3.423,5.061
83,3.012,5.018
97,3.144,4.425
173,3.03,4.595
167,2.551,3.288
188,2.629,3.725
163,2.909,4.417
177,2.894,4.149
93,3.182,5.157
87,2.487,3.65
78,2.009,3.013
50,3.135,3.974
44,1.783,2.645
45,3.081,4.586
51,3.085,4.737
79,1.468,2.348
86,3.042,4.157
92,3.126,4.846
176,2.892,4.287
162,3.722,5.989
189,3.04,4.829
148,3.144,4.683
174,3.169,5.11
160,3.221,5.04
84,3.409,5.237
90,3.267,5.662
47,3.175,4.734
53,3.348,5.023
52,3.363,5.312
46,2.755,3.844
91,3.086,4.582
85,2.779,3.683
161,2.898,4.244
175,2.849,4.511
149,3.276,5.446
